Velocity,Average_D
0.5Vmax,0.025549999999999996
0.5Vmax,0.01685
0.5Vmax,0.0223
0.5Vmax,0.00415
0.5Vmax,0.04975
0.5Vmax,0.0102
0.5Vmax,0.0182
0.5Vmax,0.0272
0.5Vmax,0.0349
0.5Vmax,0.019450000000000002
0.5Vmax,0.02035
0.5Vmax,0.00795
0.5Vmax,0.01385
0.5Vmax,0.021249999999999998
0.5Vmax,0.020900000000000002
0.5Vmax,0.0157
0.5Vmax,0.0288
0.5Vmax,0.016149999999999998
0.5Vmax,0.02425
0.5Vmax,0.009999999999999998
0.5Vmax,0.0102
0.5Vmax,0.05385
0.5Vmax,0.0357
0.5Vmax,0.0295
0.6Vmax,0.012
0.6Vmax,0.00785
0.6Vmax,0.0204
0.6Vmax,0.0064
0.6Vmax,0.0493
0.6Vmax,0.0945
0.6Vmax,0.0786
0.6Vmax,0.08554999999999999
0.6Vmax,0.041150000000000006
0.6Vmax,0.03615
0.6Vmax,0.0732
0.6Vmax,0.0059
0.6Vmax,0.0177
0.6Vmax,0.0067
0.6Vmax,0.0067
0.6Vmax,0.01825
0.6Vmax,0.02925
0.6Vmax,0.04925
0.6Vmax,0.01945
0.6Vmax,0.00355
0.6Vmax,0.04875
0.6Vmax,0.0216
0.6Vmax,0.02425
0.6Vmax,0.022350000000000002
0.6Vmax,0.02075
0.6Vmax,0.02035
0.6Vmax,0.013149999999999998
0.6Vmax,0.0211
0.6Vmax,0.06775
0.6Vmax,0.03725
0.6Vmax,0.018549999999999997
0.6Vmax,0.0063
0.6Vmax,0.024650000000000002
0.6Vmax,0.044199999999999996
0.6Vmax,0.0238
0.6Vmax,0.00485
0.6Vmax,0.0068000000000000005
0.6Vmax,0.01125
0.6Vmax,0.00645
0.6Vmax,0.029650000000000003
0.6Vmax,0.019200000000000002
0.6Vmax,0.0188
0.6Vmax,0.016550000000000002
0.6Vmax,0.0149
0.6Vmax,0.01935
0.6Vmax,0.0231
0.6Vmax,0.0263
0.6Vmax,0.03465
0.6Vmax,0.021249999999999998
0.6Vmax,0.01945
0.6Vmax,0.0296
0.6Vmax,0.0226
0.6Vmax,0.0214
0.6Vmax,0.00645
0.6Vmax,0.01225
0.6Vmax,0.02655
0.6Vmax,0.0143
0.6Vmax,0.0247
0.6Vmax,0.035949999999999996
0.6Vmax,0.0406
0.6Vmax,0.017849999999999998
0.6Vmax,0.04
0.6Vmax,0.01455
